Loaded 540 test conversations
[505/540] amazonhelp_143673... -> ORDER_MODIFY
[506/540] amazonhelp_143707... -> ORDER_STATUS
[507/540] amazonhelp_143743... -> PAYMENT_ISSUE
[508/540] amazonhelp_144131... -> ORDER_STATUS
[509/540] amazonhelp_144310... -> ORDER_STATUS
[510/540] amazonhelp_144542... -> APP_USAGE
[511/540] amazonhelp_144598... -> ORDER_STATUS
[512/540] amazonhelp_145233... -> ORDER_STATUS
[513/540] amazonhelp_145718... -> ORDER_STATUS
[514/540] amazonhelp_145756... -> APP_USAGE
[515/540] amazonhelp_145894... -> ORDER_STATUS
[516/540] amazonhelp_146604... -> ORDER_MODIFY
[517/540] amazonhelp_146991... -> ORDER_MODIFY
[518/540] amazonhelp_147492... -> ORDER_MODIFY
[519/540] amazonhelp_147706... -> ORDER_STATUS
[520/540] amazonhelp_147887... -> DELIVERY_LATE
[521/540] amazonhelp_148577... -> DELIVERY_LATE
[522/540] amazonhelp_148746... -> APP_USAGE
[523/540] amazonhelp_148824... -> DELIVERY_MISSING
[524/540] amazonhelp_148887... -> DELIVERY_MISSING
[525/540] amazonhelp_148996... -> PAYMENT_ISSUE
[526/540] amazonhelp_149125... -> ORDER_MODIFY
[527/540] amazonhelp_149752... -> OTHER
[528/540] amazonhelp_150470... -> DELIVERY_LATE
[529/540] amazonhelp_150699... -> ORDER_STATUS
[530/540] amazonhelp_150708... -> OTHER
[531/540] amazonhelp_151186... -> APP_USAGE
[532/540] amazonhelp_151901... -> ACCOUNT_ACCESS
[533/540] amazonhelp_152104... -> OTHER
[534/540] amazonhelp_152421... -> ORDER_STATUS
[535/540] amazonhelp_152548... -> REFUND_REQUEST
[536/540] amazonhelp_152647... -> DELIVERY_LATE
[537/540] amazonhelp_152727... -> ORDER_STATUS
[538/540] amazonhelp_154111... -> ORDER_STATUS
[539/540] amazonhelp_154419... -> DELIVERY_LATE
[540/540] amazonhelp_154660... -> ORDER_STATUS

--- Pause at 540 ---

Saved: data/evaluation/groq_test_predictions.jsonl
Total: 540
Success: 540
Errors: 0
